"bbs_code","age2","sex","metric","n","overallMEAN","overallVAR","overallSD","overallCV"
"HG","adults","female","tarsus",259,57.0872586872587,11.3937372728487,3.3754610459682,0.0591280983460775
"HG","adults","female","winglength",2275,410.427076923077,112.473351060005,10.6053454003161,0.0258397800647635
"HG","adults","male","billdepth",2336,19.5638698630137,0.675364133749383,0.82180541112199,0.0420062808062145
"HG","adults","male","billlength",543,54.2907918968693,6.44938114085471,2.53956317914218,0.0467770516953653
"HG","adults","male","headbill",1273,124.320816967793,13.9382155148087,3.73339195836825,0.0300303042517444
"HG","adults","male","tail",171,171.33918128655,54.1940203823433,7.36165880643373,0.0429654136967189
"HG","adults","male","tarsus",261,61.8873563218391,14.2906064209278,3.78029184335387,0.0610834275048822
"HG","adults","male","winglength",2346,430.151619778346,124.705456583499,11.167159736634,0.025960984971737
"HG","non-adult","female","billdepth",5,16.3,1.20999999999998,1.09999999999999,0.0674846625766865
"HG","non-adult","female","billlength",11,49.5636363636364,13.3168595041325,3.64922724753234,0.0736271088093466
"HG","non-adult","female","tarsus",6,60,10.8899999999999,3.29999999999998,0.0549999999999997
"HG","non-adult","female","winglength",13,401.153846153846,271.831715976296,16.4873198542485,0.0410997426855666
"HG","non-adult","male","billdepth",26,18.1384615384615,1.08236686390524,1.04036861924283,0.0573570485587651
"HG","non-adult","male","billlength",23,54.0130434782609,7.22809073724011,2.68851087727763,0.0497752154691986
"HG","non-adult","male","tarsus",27,63.4444444444444,19.2669135802471,4.38940925185236,0.0691850845300722
"HG","non-adult","male","winglength",27,421.185185185185,97.3457064471731,9.86639277786837,0.0234253082133702
"K.","adults","female","billlength",43,15,0.722499999999997,0.849999999999998,0.0566666666666665
"K.","adults","female","tail",44,171,47.3343999999997,6.87999999999998,0.0402339181286549
"K.","adults","female","tarsus",37,39.6,1.44000000000005,1.20000000000002,0.0303030303030309
"K.","adults","female","winglength",45,256,71.9103999999934,8.47999999999961,0.0331249999999985
"K.","adults","male","billlength",37,13.9,0.372099999999989,0.609999999999991,0.0438848920863303
"K.","adults","male","tail",37,163,31.3600000000006,5.60000000000005,0.0343558282208592
"K.","adults","male","tarsus",36,39.6,0.864900000000034,0.930000000000018,0.0234848484848489
