"bbs_code","age2","metric","n","pooledMEAN","pooledSD","sex","pooledVAR","pooledCV"
"AC","adults","billdepth",96,9.6,0.0999999999999545,"all",0.00999999999999091,1.04166666666619
"AC","adults","billlength",176,30.0024531024531,1.79791515052666,"all",3.2324988884933,5.99256048959428
"AC","adults","headbill",96,76.72,1.66391105531498,"all",2.76859999999942,2.16881003038971
"AC","adults","tarsus",177,44.6125213675214,1.701415864105,"all",2.89481594262816,3.81376306909131
"AC","adults","winglength",213,324.110141218005,8.03955290877353,"all",64.6344109729689,2.48050026406483
"AC","non-adult","winglength",33,311,8.58044870621583,"all",73.6241000000009,2.75898672225589
"BZ","adults","billlength",78,22.3,1.30755497016378,"all",1.7097,5.86347520252815
"BZ","adults","tarsus",53,75.75,2.80401497856202,"all",7.86250000000018,3.70166993869574
"BZ","adults","winglength",81,392.5,12.3312610871718,"all",152.059999999998,3.14172256998008
"BZ","non-adult","billlength",69,21.95,1.38425069983725,"all",1.9161499999999,6.30638132044303
"BZ","non-adult","winglength",71,388.5,13.3661886863832,"all",178.654999999999,3.44046040833545
"BZ","unknown","billlength",29,22.35,1.31244047484063,"all",1.72249999999991,5.87221688966727
"BZ","unknown","tail",85,222.191666666667,11.8880676637447,"all",141.326152777772,5.35036612402717
"BZ","unknown","tarsus",50,75.4420289855072,3.07966240372189,"all",9.48432052089811,4.08215744610144
"BZ","unknown","winglength",130,391.414136622391,23.1241351315651,"all",534.725625582883,5.90784362851811
"CN","adults","billdepth",474,7.95042690665744,0.692263130361195,"all",0.479228241657481,8.70724476168086
"CN","adults","billlength",991,36.6328680705852,6.78190281302769,"all",45.9942057653529,18.513163642989
"CN","adults","headbill",1264,78.0663098858626,2.51657594934492,"all",6.33315450882128,3.22363892058469
"CN","adults","tail",423,139.149972119384,37.1492900073087,"all",1380.06974804712,26.6973032344099
"CN","adults","tarsus",1047,20.9733070323066,1.42665782783128,"all",2.03535255771226,6.80225500744209
"CN","adults","winglength",2093,269.423945611268,7.03924800953182,"all",49.5510125396977,2.61270318551724
"CN","non-adult","billlength",240,32.5,1.89999999999997,"all",3.6099999999999,5.84615384615377
"CN","non-adult","headbill",240,73.6,2.52999999999993,"all",6.40089999999964,3.4374999999999
"CN","non-adult","winglength",835,256.686708595388,8.89326189618222,"all",79.0901071540866,3.46463669460991
"EA","adults","billlength",23,43.35,3.08378825472829,"all",9.50975000000017,7.1136983961437
"EA","adults","tarsus",64,106,6.53299318842445,"all",42.6800000000003,6.16320112115514
"EA","adults","winglength",26,626,38.4300013010667,"all",1476.86499999999,6.13897784362088
"EA","non-adult","billlength",51,42.25,2.63579210105801,"all",6.94739999999979,6.23856118593611
"EA","non-adult","winglength",50,624.5,26.965348134226,"all",727.130000000005,4.31791002949976
"F.","adults","billdepth",96,15.9131111111111,1.33522532384316,"all",1.78282666543208,8.39072456994825
"F.","adults","billlength",112,37.270303030303,2.66009521913027,"all",7.07610657483974,7.13730504677532
"F.","adults","headbill",63,88.2,4.09206549312201,"all",16.7449999999999,4.6395300375533
"F.","adults","tail",63,119.5,5.7227615711298,"all",32.75,4.78892181684502
"F.","adults","tarsus",63,51.95,2.68001865665137,"all",7.18249999999944,5.15884245746174
"F.","adults","winglength",98,323.039882943144,15.256977779787,"all",232.775370972915,4.72293935992798
"F.","non-adult","billlength",174,38.7,1.95320249846242,"all",3.81499999999983,5.04703487974785
